메뉴,칼로리(Kcal),당류(g),카페인(mg),커피 포함,hot/ice,photo
HOT 아메리카노,15.0,0.0, 156,1,0,https://composecoffee.com/files/thumbnails/210/384x530.crop.jpg?t=1708913697
ICE 아메리카노,15.0,0.0, 156,1,1,https://composecoffee.com/files/thumbnails/451/038/384x530.crop.jpg?t=1708913708
HOT 카페라떼,204.0,13.5, 208,1,0,https://composecoffee.com/files/thumbnails/212/384x530.crop.jpg?t=1708913719
ICE 카페라떼,155.0,10.0, 208,1,1,https://composecoffee.com/files/thumbnails/459/038/384x530.crop.jpg?t=1708913733
카푸치노,191.9,12.9, 208,1,1,https://composecoffee.com/files/thumbnails/214/384x530.crop.jpg?t=1708913746
HOT 바닐라라떼,258.3,29.5, 208,1,0,https://composecoffee.com/files/thumbnails/216/384x530.crop.jpg?t=1708913757
ICE 바닐라라떼,202.3,25.5, 208,1,1,https://composecoffee.com/files/thumbnails/593/038/384x530.crop.jpg?t=1708913773
HOT 헤이즐넛라떼,259.17,29.6, 208,1,0,https://composecoffee.com/files/thumbnails/218/384x530.crop.jpg?t=1708913786
ICE 헤이즐넛 라떼,203.17,25.6, 208,1,1,https://composecoffee.com/files/thumbnails/602/038/384x530.crop.jpg?t=1708913803
HOT 카라멜마끼아또,342.7,38.4, 208,1,0,https://composecoffee.com/files/thumbnails/220/384x530.crop.jpg?t=1708913818
ICE 카라멜마끼아또,284.7,35.4, 208,1,1,https://composecoffee.com/files/thumbnails/619/038/384x530.crop.jpg?t=1708913831
HOT 카페모카,388.1,34.3, 208,1,0,https://composecoffee.com/files/thumbnails/222/384x530.crop.jpg?t=1708913849
ICE 카페모카,332.0,30.3, 208,1,1,https://composecoffee.com/files/thumbnails/609/038/384x530.crop.jpg?t=1708913865
HOT 돌체라떼,359.0,39.4, 208,1,0,https://composecoffee.com/files/thumbnails/225/384x530.crop.jpg?t=1708913877
ICE 돌체라떼,269.0,30.0, 208,1,1,https://composecoffee.com/files/thumbnails/623/038/384x530.crop.jpg?t=1708913892
흑당카페라떼,297.0,42.4, 104,1,1,https://composecoffee.com/files/thumbnails/227/384x530.crop.jpg?t=1708913903
달고나라떼,337.2,48.9, 156,1,1,https://composecoffee.com/files/thumbnails/665/034/384x530.crop.jpg?t=1708913918
아인슈페너라떼,301.3,34.3, 208,1,1,https://composecoffee.com/files/thumbnails/229/384x530.crop.jpg?t=1708913930
HOT 더치커피,7.8,0.0,85.0,1,0,https://composecoffee.com/files/thumbnails/237/384x530.crop.jpg?t=1705459779
ICE 더치커피,7.8,0.0,85.0,1,1,https://composecoffee.com/files/thumbnails/627/038/384x530.crop.jpg?t=1705459846
HOT 더치라떼,189.8,13.0,85.0,1,0,https://composecoffee.com/files/thumbnails/658/034/384x530.crop.jpg?t=1705459909
ICE 더치라떼,112.8,7.5,85.0,1,1,https://composecoffee.com/files/thumbnails/633/038/384x530.crop.jpg?t=1705459962
아인슈페너,16.8,16.8,85.0,1,1,https://composecoffee.com/files/thumbnails/241/384x530.crop.jpg?t=1709613789
HOT 디카페인 더치커피,12.7,0.0,9.2,1,0,https://composecoffee.com/files/thumbnails/239/384x530.crop.jpg?t=1705460110
ICE 디카페인 더치커피,12.7,0.0,9.2,1,1,https://composecoffee.com/files/thumbnails/769/038/384x530.crop.jpg?t=1705460131
