메뉴,칼로리(Kcal),당류(g),카페인(mg),커피 포함,hot/ice,photo
(L) HOT 디카페인 아메리카노,11.0,0.0,23.0,1,0,https://ediya.com/files/menu/IMG_1697070552345.png
(EX) HOT 디카페인 아메리카노,16.0,0.0,34.0,1,0,https://ediya.com/files/menu/IMG_1697070876514.png
ICED 바닐라 오트 콜드브루,206.0,16.0,78.0,1,1,https://ediya.com/files/menu/IMG_1678753103297.png
ICED 디카페인 바닐라 오트 콜드브루,205.0,16.0,2.0,1,1,https://ediya.com/files/menu/IMG_1678753482451.png
(L) ICED 넛츠 크림 라떼,429.0,51.0,232.0,1,1,https://ediya.com/files/menu/IMG_1671587873712.png
아포가토 오리지널,176.0,15.0,116.0,1,1,https://ediya.com/files/menu/IMG_1691731083701.png
디카페인 아포가토 오리지널,173.0,15.0,11.0,1,1,https://ediya.com/files/menu/IMG_1691731409331.png
ICED 콜드브루 아메리카노,12.0,0.0,104.0,1,1,https://ediya.com/files/menu/IMG_1647320805422.png
(EX) ICED 콜드브루 아메리카노 ,18.0,0.0,155.0,1,1,https://ediya.com/files/menu/IMG_1647320820317.png
ICED 디카페인 콜드브루 아메리카노 ,7.0,0.0,4.0,1,1,https://ediya.com/files/menu/IMG_1647320328440.png
(EX) ICED 디카페인 콜드브루 아메리카노 ,11.0,0.0,5.0,1,1,https://ediya.com/files/menu/IMG_1648685292664.png
ICED 디카페인 콜드브루 라떼,130.0,10.0,4.0,1,1,https://ediya.com/files/menu/IMG_1647320345410.png
(EX) ICED 디카페인 콜드브루 라떼 ,211.0,16.0,5.0,1,1,https://ediya.com/files/menu/IMG_1647320357663.png
ICED 콜드브루 라떼,134.0,10.0,104.0,1,1,https://ediya.com/files/menu/IMG_1647320848557.png
(EX) ICED 콜드브루 라떼 ,218.0,16.0,155.0,1,1,https://ediya.com/files/menu/IMG_1647320836186.png
ICED 콜드브루 니트로,14.0,0.0,124.0,1,1,https://ediya.com/files/menu/IMG_1647320870899.png
ICED 디카페인 콜드브루 니트로 ,9.0,0.0,4.0,1,1,https://ediya.com/files/menu/IMG_1647320389669.png
ICED 콜드브루 화이트 비엔나,267.0,32.0,52.0,1,1,https://ediya.com/files/menu/IMG_1647320860534.png
ICED 디카페인 콜드브루 화이트 비엔나 ,265.0,32.0,2.0,1,1,https://ediya.com/files/menu/IMG_1647320378419.png
ICED 디카페인 흑당 콜드브루 ,237.0,38.0,2.0,1,1,https://ediya.com/files/menu/IMG_1647320406434.png
(EX) ICED 디카페인 흑당 콜드브루,380.0,60.0,4.0,1,1,https://ediya.com/files/menu/IMG_1647320424871.png
ICED 디카페인 연유 콜드브루,278.0,37.0,4.0,1,1,https://ediya.com/files/menu/IMG_1647387558230.png
(EX) ICED 디카페인 연유 콜드브루 ,445.0,58.0,5.0,1,1,https://ediya.com/files/menu/IMG_1647320633102.png
ICED 흑당 콜드브루,239.0,38.0,52.0,1,1,https://ediya.com/files/menu/IMG_1647320738273.png
(EX) ICED 흑당 콜드브루,385.0,60.0,104.0,1,1,https://ediya.com/files/menu/IMG_1647320749119.png
(L) HOT 연유 카페 라떼 ,386.0,49.0,232.0,1,0,https://ediya.com/files/menu/IMG_1671584792635.png
(L) ICED 연유 카페 라떼 ,354.0,46.0,232.0,1,1,https://ediya.com/files/menu/IMG_1671585023298.png
(EX) HOT 연유 카페 라떼 ,601.0,78.0,348.0,1,0,https://ediya.com/files/menu/IMG_1647324689152.png
(EX) ICED연유 카페 라떼 ,530.0,72.0,348.0,1,1,https://ediya.com/files/menu/IMG_1647324719307.png
ICED 연유 콜드브루,282.0,37.0,104.0,1,1,https://ediya.com/files/menu/IMG_1647320780643.png
(EX) ICED 연유 콜드브루 ,452.0,58.0,155.0,1,1,https://ediya.com/files/menu/IMG_1647320793322.png
HOT 에스프레소,8.0,0.0,116.0,1,0,https://ediya.com/files/menu/IMG_1647320254869.png
HOT 에스프레소 마끼아또,14.0,1.0,116.0,1,0,https://ediya.com/files/menu/IMG_1511503315349.png
HOT 에스프레소 콘파냐,47.0,2.0,116.0,1,0,https://ediya.com/files/menu/IMG_1511503304139.png
(L) HOT 카페 아메리카노,16.0,0.0,232.0,1,0,https://ediya.com/files/menu/IMG_1671581625569.png
(L) ICED 카페 아메리카노,16.0,0.0,232.0,1,1,https://ediya.com/files/menu/IMG_1671581786293.png
(EX) HOT 카페 아메리카노,24.0,0.0,348.0,1,0,https://ediya.com/files/menu/IMG_1647321162101.png
(EX) ICED 카페 아메리카노,24.0,0.0,348.0,1,1,https://ediya.com/files/menu/IMG_1647321147600.png
(L) HOT 카페 라떼,203.0,15.0,232.0,1,0,https://ediya.com/files/menu/IMG_1671582054147.png
(L) ICED 카페 라떼,142.0,10.0,232.0,1,1,https://ediya.com/files/menu/IMG_1671582134737.png
(EX) HOT 카페 라떼,288.0,21.0,348.0,1,0,https://ediya.com/files/menu/IMG_1645073265123.png
(EX) ICED 카페 라떼,182.0,12.0,348.0,1,1,https://ediya.com/files/menu/IMG_1645073339534.png
(L) HOT 카푸치노,129.0,9.0,232.0,1,0,https://ediya.com/files/menu/IMG_1671582405654.png
(L) ICED 카푸치노,145.0,10.0,232.0,1,1,https://ediya.com/files/menu/IMG_1671583172436.png
(L) HOT 카페 모카,424.0,38.0,245.0,1,0,https://ediya.com/files/menu/IMG_1671586052246.png
(L) ICED 카페 모카,353.0,33.0,245.0,1,1,https://ediya.com/files/menu/IMG_1671586141487.png
(EX) HOT 카페 모카,530.0,49.0,365.0,1,0,https://ediya.com/files/menu/IMG_1645073368848.png
(EX) ICED 카페 모카,450.0,42.0,365.0,1,1,https://ediya.com/files/menu/IMG_1645073377193.png
(L) HOT 카라멜 마끼아또,285.0,36.0,232.0,1,0,https://ediya.com/files/menu/IMG_1671585699141.png
(L) ICED 카라멜 마끼아또,250.0,34.0,232.0,1,1,https://ediya.com/files/menu/IMG_1671585861402.png
(EX) HOT 카라멜 마끼아또,405.0,55.0,348.0,1,0,https://ediya.com/files/menu/IMG_1647321239141.png
(EX) ICED 카라멜 마끼아또,347.0,50.0,348.0,1,1,https://ediya.com/files/menu/IMG_1647321212721.png
(L) HOT 바닐라 라떼,303.0,29.0,274.0,1,0,https://ediya.com/files/menu/IMG_1671583442731.png
(L) ICED 바닐라 라떼,245.0,25.0,274.0,1,1,https://ediya.com/files/menu/IMG_1671583414313.png
(EX) HOT 바닐라 라떼,476.0,49.0,432.0,1,0,https://ediya.com/files/menu/IMG_1647321057747.png
(EX) ICED 바닐라 라떼,386.0,42.0,432.0,1,1,https://ediya.com/files/menu/IMG_1647321034823.png
(L) HOT 화이트 초콜릿 모카,420.0,40.0,232.0,1,0,https://ediya.com/files/menu/IMG_1671587353689.png
(L) ICED 화이트 초콜릿 모카,362.0,35.0,232.0,1,1,https://ediya.com/files/menu/IMG_1671587593517.png
(EX) HOT 화이트 초콜릿 모카 ,588.0,61.0,348.0,1,0,https://ediya.com/files/menu/IMG_1647321390212.png
(L) HOT 민트 모카,484.0,45.0,268.0,1,0,https://ediya.com/files/menu/IMG_1671588213206.png
(EX) ICED 화이트 초콜릿 모카 ,515.0,54.0,348.0,1,1,https://ediya.com/files/menu/IMG_1647321347859.png
(L) ICED 민트 모카,420.0,40.0,268.0,1,1,https://ediya.com/files/menu/IMG_1671588274664.png
HOT 토피넛 라떼,273.0,33.0,22.0,0,0,https://ediya.com/files/menu/IMG_1694414812893.png
(EX) HOT 토피넛 라떼,485.0,56.0,33.0,0,0,https://ediya.com/files/menu/IMG_1694414794668.png
ICED 토피넛 라떼,222.0,29.0,22.0,0,1,https://ediya.com/files/menu/IMG_1694414746800.png
(EX) ICED 토피넛 라떼,350.0,45.0,33.0,0,1,https://ediya.com/files/menu/IMG_1694415549864.png
HOT 쌍화차,212.0,28.0,0.0,0,0,https://ediya.com/files/menu/IMG_1647322753151.png
ICED 쌍화차,212.0,28.0,0.0,0,1,https://ediya.com/files/menu/IMG_1647322778699.png
HOT 생강차,235.0,46.0,0.0,0,0,https://ediya.com/files/menu/IMG_1647322669524.png
 ICED 생강차,235.0,46.0,0.0,0,1,https://ediya.com/files/menu/IMG_1647322677153.png
ICED 달고나 라떼,286.0,41.0,0.0,0,1,https://ediya.com/files/menu/IMG_1647321929656.png
(EX) ICED 달고나 라떼 ,429.0,61.0,0.0,0,1,https://ediya.com/files/menu/IMG_1647321941152.png
ICED 흑당 라떼,233.0,38.0,0.0,0,1,https://ediya.com/files/menu/IMG_1647322011235.png
(EX) ICED 흑당 라떼,373.0,60.0,0.0,0,1,https://ediya.com/files/menu/IMG_1647322029671.png
ICED 버블 흑당 라떼,308.0,35.0,0.0,0,1,https://ediya.com/files/menu/IMG_1647324429590.png
(EX) ICED 버블 흑당 라떼,588.0,63.0,0.0,0,1,https://ediya.com/files/menu/IMG_1647324410367.png
