메뉴,칼로리(Kcal),당류(g),카페인(mg),커피 포함,hot/ice,photo
타로스무디,337.0,28.0,0,0,1,https://www.gong-cha.co.kr/uploads/product/20240227/oEzmT3HpYgeWkhxd_20240227.png
레몬 요구르트스무디,294.0,50.0,0,0,1,https://www.gong-cha.co.kr/uploads/product/20240227/CEgIhavlLc92Q3UA_20240227.png
타로 러브 포션,380.0,39.0,0.0,0,1,https://www.gong-cha.co.kr/uploads/product/20240126/PXKQnSfhx5gYl1L2_20240126.png
초코렛 러브 포션,414.0,11.0,128.0,0,1,https://www.gong-cha.co.kr/uploads/product/20240126/F4T0jrn6D7EstwOS_20240126.png
요구르트 러브 포션,388.0,49.0,27.0,0,1,https://www.gong-cha.co.kr/uploads/product/20240126/jInkzT8tuBb9CR7e_20240126.png
블랙 밀크티+펄 (ice),277.0,7.0,107.0,0,1,https://www.gong-cha.co.kr/uploads/product/20231115/e3LFaozp5ymfJBjq_20231115.png
블랙 밀크티+펄 (hot),202.0,9.0,104.0,0,0,https://www.gong-cha.co.kr/uploads/product/20231115/e3LFaozp5ymfJBjq_20231115.png
청귤 스파클링 티,68.0,42.0,60.0,0,1,https://www.gong-cha.co.kr/uploads/product/20231115/nHBQkPO83yAS12qr_20231115.png
타로 밀크티+펄 (ice),378.0,12.0,0.0,0,1,https://www.gong-cha.co.kr/uploads/product/20231115/67SoDHPZzVEa4uFA_20231115.png
타로 밀크티+펄 (hot),476.0,15.0,0.0,0,0,https://www.gong-cha.co.kr/uploads/product/20231115/67SoDHPZzVEa4uFA_20231115.png
우롱티 + 코코넛 + 밀크폼 (ice),145.0,12.0,65.0,0,1,https://www.gong-cha.co.kr/uploads/product/20231115/JKTl8t7B9PIYoMAD_20231115.png
우롱티 + 코코넛 + 밀크폼 (hot),145.0,12.0,78.0,0,0,https://www.gong-cha.co.kr/uploads/product/20231115/JKTl8t7B9PIYoMAD_20231115.png
자몽 그린티+알로에,84.0,17.0,81.0,0,1,https://www.gong-cha.co.kr/uploads/product/20231115/i0VB9uUCFk8enAdP_20231115.png
망고요구르트+화이트펄,207.0,40.0,0.0,0,1,https://www.gong-cha.co.kr/uploads/product/20231115/YpceTbMf19OXwoIi_20231115.png
트로피칼 스파클링 티,49.0,24.0,60.0,0,1,https://www.gong-cha.co.kr/uploads/product/20231115/HGhN35OA0kCPJfQc_20231115.png
청귤 스파클링 티,42.0,36.0,60.0,0,1,https://www.gong-cha.co.kr/uploads/product/20231115/ZoQCpV14bROzhGWP_20231115.png
오리지널 콤부차+알로에,88.0,18.0,15.0,0,1,https://www.gong-cha.co.kr/uploads/product/20231115/3kcsqmBOZb7K16Hl_20231115.png
패션 프룻 히비스커스 콤부차,157.0,29.0,13.0,0,1,https://www.gong-cha.co.kr/uploads/product/20231115/KDz3OpWEmSFJlgLa_20231115.png
블랙 스파클링 티,1.0,0,61.0,0,1,https://www.gong-cha.co.kr/uploads/product/20231115/gt9y4YEeLNrvjkhG_20231115.png
얼그레이 스파클링 티,1.0,0,45.0,0,1,https://www.gong-cha.co.kr/uploads/product/20231115/S4ahR9tznPJ36yQd_20231115.png
자스민 그린 스파클링 티,2.0,0,60.0,0,1,https://www.gong-cha.co.kr/uploads/product/20231115/rXnCpbTVly6PwgkD_20231115.png
우롱 스파클링 티,1.0,0,47.0,0,1,https://www.gong-cha.co.kr/uploads/product/20231115/hK4TXQ9tCGyiOUFc_20231115.png
브라운 슈가쥬얼리 밀크티(ice),327.0,37.0,0.0,0,1,https://www.gong-cha.co.kr/uploads/product/20231115/B9UxHobvNFipAdc6_20231115.png
브라운 슈가쥬얼리 밀크티(hot),435.0,41.0,0.0,0,0,https://www.gong-cha.co.kr/uploads/product/20231115/B9UxHobvNFipAdc6_20231115.png
블랙 밀크티 (ice),195.0,1.0,100.0,0,1,https://www.gong-cha.co.kr/uploads/product/20231115/Y6MfWN3T8eBcFt7K_20231115.png
블랙 밀크티 (hot),120.0,3.0,84.0,0,0,https://www.gong-cha.co.kr/uploads/product/20231115/Y6MfWN3T8eBcFt7K_20231115.png
얼그레이 밀크티 (ice),198.0,1.0,116.0,0,1,https://www.gong-cha.co.kr/uploads/product/20231115/0sJdAvZIqo8PuNmc_20231115.png
얼그레이 밀크티 (hot),105.0,2.0,97.0,0,0,https://www.gong-cha.co.kr/uploads/product/20231115/0sJdAvZIqo8PuNmc_20231115.png
우롱 밀크티 (ice),154.0,1.0,78.0,0,1,https://www.gong-cha.co.kr/uploads/product/20231115/91jcZz2tsFOPWiYQ_20231115.png
우롱 밀크티 (hot),106.0,2.0,65.0,0,0,https://www.gong-cha.co.kr/uploads/product/20231115/91jcZz2tsFOPWiYQ_20231115.png
딸기 쥬얼리밀크티 (ice),225.0,29.0,13.0,0,1,https://www.gong-cha.co.kr/uploads/product/20231115/wcqhLHZ2kSsmXifr_20231115.png
타로 밀크티 (ice),297.0,6.0,0.0,0,1,https://www.gong-cha.co.kr/uploads/product/20231115/RLgSJ1qijHsMAZka_20231115.png
타로 밀크티 (hot),394.0,9.0,0.0,0,0,https://www.gong-cha.co.kr/uploads/product/20231115/RLgSJ1qijHsMAZka_20231115.png
초콜렛 밀크티 (ice),249.0,1.0,12.0,0,1,https://www.gong-cha.co.kr/uploads/product/20231115/EcyZOUlTq9a82vXd_20231115.png
초콜렛 밀크티 (hot),343.0,1.0,16.0,0,0,https://www.gong-cha.co.kr/uploads/product/20231115/EcyZOUlTq9a82vXd_20231115.png
