메뉴,칼로리(Kcal),당류(g),카페인(mg),커피 포함,hot/ice,photo
쇼콜라 딸기라떼 프라페,589.9,69.9,4.9,1,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20240118000022_1705503622059_H8rL88kAbV.jpg
하트 뿅! 레몬셔벗 딸기 스무디,291.9,54.1,2.7,1,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20240118000224_1705503744332_ePPpvXy65_.jpg
하트 뿅! 딸기레몬 티플레저,305.7,58.9,1.5,1,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20240118000357_1705503837479_1zpjWLPFmW.jpg
딸기라떼,366.4,47.3,0.0,1,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20240118002132_1705504892231_18kOHNgqsY.jpg
왁자지껄 팝핑 스무디언즈,548.9,72.5,0.0,1,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20231206193822_1701859102022_4xp3O1WXqp.jpg
우당탕탕 뚝딱 미니언라떼,317.4,37.3,0.0,1,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20231206194441_1701859481066_Sf9sdEIT1O.jpg
바나바나 초코 미니언라떼,535.7,61.0,5.8,1,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20231206194722_1701859642006_flPabSBC9g.jpg
할메가커피,281.9,30.3,99.0,1,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20230905185615_1693907775304_fenhtXqy4y.jpg
왕할메가커피,468.7,48.5,196.0,1,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20230905185855_1693907935536_aXkP_SjplJ.jpg
코코넛 커피 스무디,746.5,61.4,173.0,1,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20230503150121_1683093681433_ehOASTxDPQ.png
레드오렌지자몽주스,205.3,43.7,0.0,1,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20230302111940_1677723580990_DVocCFWWgr.jpg
샤인머스캣그린주스,218.1,46.7,0.0,1,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20230302112058_1677723658262_kWTYa4fhBz.jpg
딸기주스,188.9,43.5,0.0,1,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20230102162433_1672644273585_S16nDUXebH.jpg
딸기바나나주스,246.9,47.4,0.0,1,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630181211_1656580331105_8H9ebY4_sA.jpg
디카페인 에스프레소,6.2,1.3,4.9,1,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20230217105027_1676598627855_H3HMfEhgCv.jpg
