메뉴,칼로리(Kcal),당류(g),카페인(mg),커피 포함,hot/ice,photo
아이스 커피,5,0,140,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[106509]_20210430111852870.jpg
쿨 라임 피지오,105,25,110,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[107051]_20210419112151972.jpg
아이스 카페 아메리카노,10,0,150,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[110563]_20210426095937808.jpg
아이스 카페 모카,250,21,95,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[110566]_20210415134334280.jpg
아이스 카페 라떼,110,8,75,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[110569]_20210415143035989.jpg
아이스 화이트 초콜릿 모카,335,41,75,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[110572]_20210415155545375.jpg
아이스 카라멜 마키아또,190,22,75,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[110582]_20210415142706078.jpg
아이스 카푸치노,110,9,75,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[110601]_20210415143400773.jpg
커피 스타벅스 더블 샷,125,14,150,1,0,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[110611]_20210415132507539.jpg
바닐라 스타벅스 더블 샷,125,14,150,1,0,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[110612]_20210415133425373.jpg
헤이즐넛 스타벅스 더블 샷,125,14,150,1,0,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[110614]_20210415132333109.jpg
아이스 시그니처 초콜릿,325,32,15,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[110621]_20210415140901611.jpg
카라멜 마키아또,200,22,75,1,0,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[126197]_20210415154609863.jpg
화이트 초콜릿 모카,405,47,75,1,0,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[128192]_20210415155639126.jpg
스타벅스 돌체 라떼,255,39,150,1,0,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[128692]_20210426091933665.jpg
아이스 스타벅스 돌체 라떼,230,35,150,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[128695]_20210426092031969.jpg
차이 티 라떼,200,31,70,0,0,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[135608]_20210415154244810.jpg
아이스 차이 티 라떼,190,31,70,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[135612]_20210415142512793.jpg
에스프레소 프라푸치노,145,29,120,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[168007]_20210415144337428.jpg
카라멜 프라푸치노,300,39,85,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[168010]_20210415154711116.jpg
화이트 초콜릿 모카 프라푸치노,265,43,85,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[168013]_20210415155746379.jpg
자바 칩 프라푸치노,340,42,100,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[168016]_20210415154152122.jpg
초콜릿 크림 칩 프라푸치노,300,40,10,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[168066]_20210415154429750.jpg
망고 바나나 블렌디드,290,45,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[169001]_20210419130701792.jpg
스팀 우유,215,18,0,0,0,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[17]_20210426095334934.jpg
우유,240,18,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[18]_20210426095514018.jpg
에스프레소,5,0,75,1,0,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[20]_20210415144112678.jpg
